Sample,Grid,Loc,ID,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,Post_Ash_wbeaker,DM,Ash,Fibre_bag_mass,Fiber_sample_mass,Fibre_bag_sample_mass,Post_NDF_wbag,NDF_AI,Post_ADF_wbag,ADF_AI,Post_ADL_wbag,ADL_AI,CP_sample_mass,"CP_Tray,Loc",CP_AI,C_AI,NDF_F,ADF_F,ADL_F,CP_F,C_F
S_27_H,KL,J_2,P73,128,28.5035,3.4718,31.7232,28.6513,0.92738637,,0.5384,0.4889,1.0291,0.7611,0.455512375,0.7069,0.344651258,0.624,0.17508693,0.0855,P2 A5,5.4046,63.3,49.11786386,37.16371827,18.87961,5.827775967,68.25634065
S_27_L,KL,J_2,P126,41,23.12,2.5035,25.4327,23.2403,0.923786699,,0.5644,0.6635,1.2279,0.8876,0.487113791,0.8175,0.381461944,0.6929,0.193669932,0.1139,P3 A7,5.3381,55.8,52.73011521,41.29329258,20.964789,5.778498443,60.40355429
S_27_M,KL,J_2,P103,151,28.7616,2.3326,30.9112,28.8607,0.921546772,,0.5496,0.6345,1.1871,0.8547,0.480851064,0.7839,0.369267139,0.6718,0.192592593,0.15,P2 E1,4.7283,65.2,52.17869331,40.0703633,20.89884078,5.130830192,70.75061407
W_28_H,KL,J_2,P19,145,29.2189,2.4353,31.5005,29.2994,0.936886626,,0.5557,0.6611,1.2205,0.8729,0.479806383,0.8218,0.402510967,0.7059,0.227197096,0.1617,P2 E6,5.3126,68.8,51.21285437,42.96261207,24.25022297,5.670483336,73.43471248
S_29_H,KL,J_6,P96,14,22.3291,2.1653,24.3409,22.431,0.92910913,,0.5362,0.6145,1.1538,0.8126,0.449796583,0.7455,0.340602116,0.6462,0.179007323,0.1132,P1 E5,4.4515,63.8,48.41159858,36.65899994,19.26655515,4.791148698,68.66792922
S_29_L,KL,J_6,P121,103,29.356,2.3914,31.5759,29.5309,0.928284687,,0.5239,0.8543,1.3801,0.8771,0.413437902,0.7964,0.318974599,0.6686,0.169378438,0.1221,P1 C6,4.3436,62.6,44.53783503,34.36172153,18.24638938,4.679167999,67.43620884
S_29_M,KL,J_6,P79,6,22.9628,2.2459,25.0444,23.135,0.926844472,,0.5726,0.5588,1.1331,0.8088,0.422691482,0.7546,0.325697924,0.661,0.158196135,0.1069,P2 C2,4.5231,62.1,45.60543807,35.14051536,17.06825032,4.880106788,67.00153248
S_3_H,JO,Q_6,P120,26,22.39,2.5739,24.7782,22.4903,0.927852675,,0.5521,0.6702,1.2253,0.8528,0.448672038,,,,,0.1543,P1 C7,5.487,72.2,48.35595675,,,5.913654342,77.81407755
S_31_H,JO,Q_6,P91,107,28.6562,3.15,31.5552,28.7722,0.92031746,,0.521,0.5405,1.0642,0.7496,0.422941721,0.6904,0.313413506,0.612,0.168362627,0.0921,P2 A2,5.6378,63.6,45.9560683,34.05493425,18.29397294,6.125929631,69.10658848
S_3_L,JO,Q_6,P109,20,22.4699,2.1025,24.4201,22.5559,0.927562426,,0.5448,0.5773,1.123,,,0.7654,0.382123679,0.6607,0.200762169,0.1248,P3 B3,4.6898,57.6,,41.19654577,21.64406008,5.056047841,62.09824633
S_3_M,JO,Q_6,P92,164,30.4578,2.0834,32.381,30.5564,0.923106461,,0.5534,0.5854,1.14,0.8351,0.481209429,0.7713,0.37222412,0.6784,0.213529211,0.1293,P3 C7,10.915,55,52.12935344,40.3229894,23.13159098,11.82420497,59.58142679
S_31_L,KL,J_10,P112,112,28.9679,2.6627,31.4341,29.109,0.926202727,,0.5354,0.6442,1.1806,0.7924,0.398944427,0.7289,0.300372555,0.6383,0.159733002,0.1268,P1 C10,4.5142,66,43.07312166,32.43054101,17.24600863,4.87387898,71.25869759
S_31_M,KL,J_10,P84,18,22.4669,2.0757,24.3885,22.556,0.925759985,,0.5232,0.6615,1.1865,0.7966,0.413303099,0.7339,0.318518519,0.6268,0.156613757,0.1077,P1 E2,5.4636,64.4,44.64473577,34.40616616,16.91731758,5.901745691,69.56446711
S_33_H,KL,J_14,P102,109,28.5451,2.9233,31.245,28.6584,0.923579516,,0.5164,0.6058,1.1256,0.791,0.453284913,0.7293,0.351436118,0.6268,0.182238362,0.123,P1 C1,5.94,66,49.07914311,38.05152792,19.73174581,6.431498204,71.46109115
